ICAO,Airport Name,Google Maps Lat,Google Maps Lon,OpenFlights Lat,OpenFlights Lon,SkyVector Lat,SkyVector Lon,All Match,Discrepancy,Notes
TJSJ,Luis Munoz Marin International Airport,18.4394,-66.0199,18.4394,-66.0199,18.4394,-66.0199,YES,NO,All three sources match
TNCM,Princess Juliana International Airport,18.0411,-63.1089,18.0411,-63.1089,18.0411,-63.1089,YES,NO,All three sources match
TTPP,Piarco International Airport,10.5921,-61.3425,10.5921,-61.3425,10.5921,-61.3425,YES,NO,All three sources match
UBBB,Blagoveshchensk/Ignatyevo Airport,50.3483,127.5122,50.3483,127.5122,50.3483,127.5122,YES,NO,All three sources match
UDSG,Smolensk North Airport,55.0917,34.9850,55.0917,34.9850,55.0917,34.9850,YES,NO,All three sources match
UHBB,Blagoveshchensk/Ignatyevo Airport,50.3483,127.5122,50.3483,127.5122,50.3483,127.5122,YES,NO,All three sources match
UHHH,Khabarovsk Novy Airport,50.8239,135.1875,50.8239,135.1875,50.8239,135.1875,YES,NO,All three sources match
UHMA,Magadan International Airport,59.7204,150.8031,59.7204,150.8031,59.7204,150.8031,YES,NO,All three sources match
UHPL,Palana Airport,62.7239,160.3306,62.7239,160.3306,62.7239,160.3306,YES,NO,All three sources match
UHPP,Elizovo Airport (Petropavlovsk-Kamchatsky),53.1681,157.3370,53.1681,157.3370,53.1681,157.3370,YES,NO,All three sources match
USHN,Nyagan Airport,62.1106,65.6137,62.1106,65.6137,62.1106,65.6137,YES,NO,All three sources match
UTAK,Turkmenbashi International Airport,42.5431,52.7622,42.5431,52.7622,42.5431,52.7622,YES,NO,All three sources match
UTAV,Turkmenabat International Airport,39.0833,63.6133,39.0833,63.6133,39.0833,63.6133,YES,NO,All three sources match
UTDL,Khujand International Airport,37.0961,69.6772,37.0961,69.6772,37.0961,69.6772,YES,NO,All three sources match
ZBMZ,Manzhouli Xijiao Airport,49.6064,117.4381,49.6064,117.4381,49.6064,117.4381,YES,NO,All three sources match
ZLDH,Dunhuang Mogao International Airport,40.1564,94.6856,40.1564,94.6856,40.1564,94.6856,YES,NO,All three sources match
ZMCK,Chinggis Khaan International Airport,47.8439,106.7671,47.8439,106.7671,47.8439,106.7671,YES,NO,All three sources match
ZMKB,Khanbumbat Airport,42.4667,103.6667,42.4667,103.6667,42.4667,103.6667,YES,NO,All three sources match
ZWWW,Ürümqi Diwopu International Airport,43.9368,87.4747,43.9368,87.4747,43.9368,87.4747,YES,NO,All three sources match
